ts_code,name,industry,close,dividend_yield,market_cap,pe_ttm,pb
002271.SZ,东方雨虹,其他建材,13.41,0.137955,320.32465203,,1.5378
600256.SH,广汇能源,石油开采,5.01,0.124152,320.2393485,16.2531,1.3442
603508.SH,思维列控,IT设备,27.85,0.118071,106.18491399000001,17.2057,2.7612
603565.SH,中谷物流,水运,10.47,0.116523,219.87660688,10.2886,2.2256
000937.SZ,冀中能源,煤炭开采,5.29,0.113422,186.92462837,46.5777,0.9807
601919.SH,中远海控,水运,15.16,0.10488099999999999,2348.24727323,6.1721,1.0504
002563.SZ,森马服饰,服饰,5.55,0.09009,149.52200388,16.2672,1.3528
601088.SH,中国神华,煤炭开采,40.0,0.081,7947.407982,15.3873,2.0038
600566.SH,济川药业,中成药,26.81,0.07779799999999999,246.97781121,14.9576,1.7843
600153.SH,建发股份,仓储物流,9.48,0.07505099999999999,274.87625463,13.4995,0.4935
002867.SZ,周大生,服饰,12.02,0.074875,130.47396194,12.5838,2.1785
002304.SZ,洋河股份,白酒,62.38,0.07449499999999999,939.7204371600001,45.4041,1.9351
000651.SZ,格力电器,家用电器,41.1,0.072781,2302.17775955,7.2658,1.594
603156.SH,养元饮品,软饮料,25.78,0.072149,324.89955650999997,20.155,3.6146
002572.SZ,索菲亚,家居用品,13.93,0.071788,134.15246995,11.8627,1.862
601666.SH,平煤股份,煤炭开采,8.04,0.071036,198.53657069000002,33.9801,0.8644
600546.SH,山煤国际,煤炭开采,10.27,0.06718600000000001,203.59824558000003,16.5133,1.2432
600985.SH,淮北矿业,煤炭开采,11.28,0.066489,303.79958238,17.0049,0.7338
600023.SH,浙能电力,火力发电,5.13,0.066277,687.86799002,9.4451,0.9246
600901.SH,江苏金租,多元金融,6.12,0.065363,354.46222558,11.2119,1.4613
601577.SH,长沙银行,银行,9.56,0.06485400000000001,384.46053888,4.69,0.5505
601101.SH,昊华能源,煤炭开采,7.26,0.063085,104.54384943000001,22.1794,0.8653
600177.SH,雅戈尔,服饰,7.58,0.060538999999999996,350.45689617,13.4549,0.8256
601928.SH,凤凰传媒,出版业,10.0,0.06,254.49,13.0145,1.2831
601225.SH,陕西煤业,煤炭开采,21.37,0.05981,2071.8215,10.8304,2.194
600015.SH,华夏银行,银行,6.78,0.059734999999999996,1079.03215013,3.9748,0.3497
600887.SH,伊利股份,乳制品,28.85,0.058925,1824.8665524300002,22.781,3.4254
300979.SZ,华利集团,服饰,56.25,0.058667,656.4375,19.1238,4.2123
002032.SZ,苏泊尔,家用电器,47.65,0.058628,381.84791277,17.5342,6.8929
002557.SZ,洽洽食品,食品,21.97,0.058164999999999994,111.13638085000001,28.4042,2.1408
600007.SH,中国国贸,园区开发,18.92,0.05814,190.57785543,16.0947,2.0092
601169.SH,北京银行,银行,5.51,0.058075999999999996,1164.9784333900002,4.4335,0.4192
601567.SH,三星医疗,电气设备,24.09,0.056845,338.51494446,17.1691,2.8832
600866.SH,星湖科技,饲料,6.73,0.056464,111.81710706,8.7285,1.3459
000672.SZ,上峰水泥,水泥,11.0,0.056327999999999996,106.63349950000001,14.1983,1.2019
600908.SH,无锡银行,银行,5.88,0.056122,129.04728367,5.5652,0.5839
600642.SH,申能股份,火力发电,8.03,0.05604,392.99457389,9.8785,1.07
002372.SZ,伟星新材,其他建材,10.73,0.05521,170.82567611,19.6736,3.6473
600582.SH,天地科技,专用机械,5.77,0.054939,238.79657906999998,8.5712,0.9362
601001.SH,晋控煤业,煤炭开采,13.86,0.054473,231.97482000000002,11.996,1.2339
